longitude,latitude,label
67.81157500997237,27.171791556405225,2.0
67.82504973923417,27.18526628566702,2.0
67.97327176111389,26.646277115195307,2.0
67.98674649037568,26.673226573718892,2.0
67.98674649037568,26.659751844457098,2.0
67.98674649037568,26.646277115195307,2.0
68.00022121963747,26.673226573718892,2.0
68.00022121963747,26.659751844457098,2.0
68.01369594889927,27.33348830754674,2.0
68.09454432447002,27.373912495332117,2.0
68.20234215856436,27.56255870499722,0.0
68.24276634634975,26.794499137075025,2.0
68.26971580487333,26.14771213250897,2.0
68.26971580487333,26.134237403247177,2.0
68.28319053413512,27.791629102447697,2.0
68.28319053413512,27.72425545613873,2.0
68.29666526339692,27.805103831709488,2.0
68.29666526339692,27.791629102447697,2.0
68.31013999265872,27.805103831709488,2.0
68.31013999265872,25.393127293848572,0.0
68.31013999265872,25.37965256458678,0.0
68.3236147219205,25.420076752372157,0.0
68.3236147219205,25.406602023110366,0.0
68.3236147219205,25.393127293848572,0.0
68.3236147219205,25.37965256458678,0.0
68.3236147219205,25.366177835324986,0.0
68.3236147219205,24.813713935591483,2.0
68.3236147219205,24.80023920632969,2.0
68.3370894511823,25.433551481633952,2.0
68.3370894511823,25.420076752372157,0.0
68.3370894511823,25.406602023110366,0.0
68.3370894511823,25.393127293848572,0.0
68.3370894511823,25.37965256458678,0.0
68.3370894511823,25.366177835324986,0.0
68.3370894511823,25.352703106063196,0.0
68.35056418044408,27.67035653909156,2.0
68.35056418044408,27.656881809829766,2.0
68.35056418044408,25.433551481633952,2.0
68.35056418044408,25.420076752372157,0.0
68.35056418044408,25.406602023110366,0.0
68.35056418044408,25.393127293848572,0.0
68.35056418044408,25.37965256458678,0.0
68.35056418044408,25.366177835324986,0.0
68.35056418044408,25.352703106063196,0.0
68.36403890970588,27.67035653909156,2.0
68.36403890970588,27.656881809829766,2.0
68.36403890970588,25.420076752372157,0.0
68.36403890970588,25.406602023110366,0.0
68.36403890970588,25.393127293848572,0.0
68.36403890970588,25.37965256458678,0.0
68.36403890970588,25.366177835324986,0.0
68.36403890970588,25.352703106063196,0.0
68.37751363896767,26.215085778817937,2.0
68.37751363896767,25.447026210895743,2.0
68.37751363896767,25.420076752372157,2.0
68.37751363896767,25.406602023110366,0.0
68.37751363896767,25.393127293848572,0.0
68.37751363896767,25.37965256458678,0.0
68.37751363896767,25.366177835324986,0.0
68.39098836822947,25.420076752372157,2.0
68.39098836822947,25.406602023110366,0.0
68.39098836822947,25.393127293848572,0.0
68.39098836822947,25.37965256458678,0.0
68.39098836822947,25.366177835324986,0.0
68.39098836822947,25.352703106063196,0.0
68.40446309749126,25.824318630225942,2.0
68.40446309749126,25.81084390096415,2.0
68.40446309749126,25.420076752372157,2.0
68.40446309749126,25.393127293848572,2.0
68.40446309749126,25.352703106063196,2.0
68.40446309749126,25.32575364753961,0.0
68.41793782675305,28.29019408513403,2.0
68.41793782675305,28.27671935587224,2.0
68.41793782675305,27.104417910096263,2.0
68.41793782675305,25.824318630225942,2.0
68.41793782675305,25.81084390096415,2.0
68.43141255601485,28.303668814395824,2.0
68.43141255601485,28.29019408513403,2.0
68.43141255601485,28.27671935587224,2.0
68.43141255601485,25.298804189016025,2.0
68.45836201453844,24.988885415994787,2.0
68.47183674380022,24.988885415994787,2.0
68.48531147306201,25.81084390096415,2.0
68.49878620232381,25.433551481633952,2.0
68.5122609315856,27.29306411976136,2.0
68.5122609315856,25.433551481633952,2.0
68.5257356608474,25.258380001230645,2.0
68.5257356608474,25.123632708612718,2.0
68.53921039010919,27.346963036808532,1.0
68.53921039010919,27.33348830754674,1.0
68.53921039010919,27.29306411976136,2.0
68.53921039010919,25.47397566941933,2.0
68.53921039010919,25.352703106063196,2.0
68.53921039010919,25.27185473049244,2.0
68.53921039010919,25.150582167136303,2.0
68.53921039010919,25.13710743787451,2.0
68.53921039010919,25.123632708612718,2.0
68.56615984863276,25.406602023110366,2.0
68.57963457789457,36.078587598450284,2.0
68.57963457789457,25.312278918277816,2.0
68.57963457789457,25.13710743787451,2.0
68.57963457789457,25.110157979350923,2.0
